[local] 1 -6 -8 0.651199 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -3 -2 0.713411 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -3 -6 0.712869 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -3 -7 0.712839 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -3 -3 0.713136 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -3 -1 0.713881 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -3 -5 0.712915 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -3 -8 0.712838 (best c=2.0, g=0.0078125, p=0.0078125, corr_coef=0.63124)
[local] 1 -8 -4 0.61101 (best c=2.0, g=0.00390625, p=0.0625, corr_coef=0.61101)
[local] 1 -8 -6 0.610902 (best c=2.0, g=0.00390625, p=0.015625, corr_coef=0.610902)
[local] 1 -8 -2 0.610917 (best c=2.0, g=0.00390625, p=0.015625, corr_coef=0.610902)
[local] 1 -8 -7 0.610909 (best c=2.0, g=0.00390625, p=0.015625, corr_coef=0.610902)
[local] 1 -8 -3 0.610957 (best c=2.0, g=0.00390625, p=0.015625, corr_coef=0.610902)
[local] 1 -8 -1 0.610967 (best c=2.0, g=0.00390625, p=0.015625, corr_coef=0.610902)
[local] 1 -8 -5 0.610951 (best c=2.0, g=0.00390625, p=0.015625, corr_coef=0.610902)
[local] 1 -8 -8 0.610898 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 1 0 -4 0.829157 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 1 0 -2 0.829417 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 1 0 -6 0.82907 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 1 0 -7 0.829068 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 1 0 -3 0.829269 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 1 0 -1 0.830014 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 1 0 -5 0.829095 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 1 0 -8 0.829068 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
